Thread ID: 0 | Owner PID: 0
Thread ID: 32 | Owner PID: 0
Thread ID: 0 | Owner PID: 0
Thread ID: 36 | Owner PID: 0
Thread ID: 0 | Owner PID: 0
Thread ID: 40 | Owner PID: 0
Thread ID: 0 | Owner PID: 0
Thread ID: 44 | Owner PID: 0
Thread ID: 12 | Owner PID: 4
Thread ID: 16 | Owner PID: 4
Thread ID: 20 | Owner PID: 4
Thread ID: 24 | Owner PID: 4
Thread ID: 28 | Owner PID: 4
Thread ID: 48 | Owner PID: 4
Thread ID: 56 | Owner PID: 4
Thread ID: 60 | Owner PID: 4
Thread ID: 64 | Owner PID: 4
Thread ID: 68 | Owner PID: 4
Thread ID: 72 | Owner PID: 4
Thread ID: 76 | Owner PID: 4
Thread ID: 80 | Owner PID: 4
Thread ID: 84 | Owner PID: 4
Thread ID: 88 | Owner PID: 4
Thread ID: 92 | Owner PID: 4
Thread ID: 96 | Owner PID: 4
Thread ID: 100 | Owner PID: 4
Thread ID: 104 | Owner PID: 4
Thread ID: 108 | Owner PID: 4
Thread ID: 124 | Owner PID: 4
Thread ID: 128 | Owner PID: 4
Thread ID: 148 | Owner PID: 4
Thread ID: 152 | Owner PID: 4
Thread ID: 156 | Owner PID: 4
Thread ID: 160 | Owner PID: 4
Thread ID: 164 | Owner PID: 4
Thread ID: 168 | Owner PID: 4
Thread ID: 172 | Owner PID: 4
Thread ID: 176 | Owner PID: 4
Thread ID: 180 | Owner PID: 4
Thread ID: 184 | Owner PID: 4
Thread ID: 188 | Owner PID: 4
Thread ID: 192 | Owner PID: 4
Thread ID: 196 | Owner PID: 4
Thread ID: 200 | Owner PID: 4
Thread ID: 204 | Owner PID: 4
Thread ID: 208 | Owner PID: 4
Thread ID: 216 | Owner PID: 4
Thread ID: 220 | Owner PID: 4
Thread ID: 224 | Owner PID: 4
Thread ID: 228 | Owner PID: 4
Thread ID: 236 | Owner PID: 4
Thread ID: 240 | Owner PID: 4
Thread ID: 244 | Owner PID: 4
Thread ID: 252 | Owner PID: 4
Thread ID: 260 | Owner PID: 4
Thread ID: 276 | Owner PID: 4
Thread ID: 300 | Owner PID: 4
Thread ID: 304 | Owner PID: 4
Thread ID: 308 | Owner PID: 4
Thread ID: 312 | Owner PID: 4
Thread ID: 320 | Owner PID: 4
Thread ID: 324 | Owner PID: 4
Thread ID: 328 | Owner PID: 4
Thread ID: 332 | Owner PID: 4
Thread ID: 336 | Owner PID: 4
Thread ID: 340 | Owner PID: 4
Thread ID: 352 | Owner PID: 4
Thread ID: 356 | Owner PID: 4
